order_id,order_date,region,category,segment,sales_amount,discount_rate,quantity,profit,customer_rating
ORD-100076,2024-10-12,West,Electronics,Corporate,218.97,0.236,9,47.35,1.5
ORD-100077,2024-08-29,,Home & Kitchen,Corporate,159.81,0.13,10,81.66,1.9
ORD-100078,2024-06-04,North,Electronics,Consumer,387.48,0.049,9,66.63,1.5
ORD-100079,2024-07-31,West,Home & Kitchen,Corporate,135.82,0.26,5,57.84,1.1
ORD-100080,2024-11-26,West,Office Supplies,Consumer,190.51,0.24,2,68.6,4.8
ORD-100081,2024-03-05,South,Electronics,Home Office,265.77,0.018,4,33.25,3.3
ORD-100082,2024-03-07,South,Electronics,Home Office,272.49,0.097,1,24.84,1.5
ORD-100083,2024-02-28,West,electronics,Corporate,,0.044,9,86.11,3.4
ORD-100084,2024-11-25,North,electronics,Corporate,195.94,0.231,7,51.31,3.7
ORD-100085,2024-11-20,  north,Office Supplies,Corporate,74.89,0.023,10,49.02,3.1
ORD-100086,2024-04-20,South,electronics,Corporate,145.48,0.228,8,56.73,2.6
ORD-100087,2024-02-16,North,electronics,Consumer,241.15,0.24,6,19.24,4.2
ORD-100088,2024-08-04,  north,Electronics,Corporate,150.29,0.124,10,31.17,2.2
ORD-100089,2024-02-28,Central,Furniture,Corporate,325.73,0.123,9,66.63,4.9
ORD-100090,2024-04-02,East,Office Supplies,Corporate,,0.29,1,7.4,1.7
ORD-100091,2024-07-11,East,Furniture,Corporate,322.78,0.032,5,79.4,3.9
ORD-100092,2024-05-19,West,electronics,Home Office,267.38,0.216,8,6.7,2.7
ORD-100093,2024-06-06,,electronics,Home Office,270.58,0.208,1,80.12,1.0
ORD-100094,2024-03-30,Central,Seasonal,Consumer,232.5,0.003,9,64.6,3.2
ORD-100095,2024-06-09,Central,electronics,Home Office,213.16,0.161,11,20.58,2.7
ORD-100096,2024-02-15,North,Furniture,Corporate,262.31,0.291,10,49.08,2.6
ORD-100097,2024-09-28,East,Office Supplies,Home Office,392.41,0.027,11,73.77,4.3
ORD-100098,2024-11-17,Central,Home & Kitchen,Corporate,253.88,0.229,11,61.82,4.7
ORD-100099,2024-08-14,East,Home & Kitchen,Consumer,145.57,0.053,6,28.2,3.0
ORD-100100,2024-11-10,West,electronics,Home Office,217.49,0.302,9,,4.8
ORD-100101,2024-02-01,East,Seasonal,Consumer,248.39,0.212,9,36.34,3.6
ORD-100102,2024-07-17,East,Seasonal,Home Office,371.68,0.127,1,56.45,4.2
ORD-100103,2024-11-04,East,Electronics,Home Office,232.23,0.253,11,36.15,1.6
ORD-100104,2024-07-11,East,Furniture,Home Office,126.98,0.328,11,108.64,4.6
ORD-100105,2024-09-05,South,Furniture,Consumer,,0.333,5,69.76,4.4
ORD-100106,2024-03-08,South,Furniture,Consumer,360.52,0.118,10,,4.2
ORD-100107,2024-08-17,South,Office Supplies,Corporate,293.45,0.155,4,72.76,2.5
ORD-100108,2024-04-12,South,Office Supplies,Consumer,468.22,0.185,11,16.77,2.9
ORD-100109,2024-08-18,South,electronics,Consumer,121.18,0.029,4,95.66,4.3
ORD-100110,2024-04-24,,Electronics,Home Office,388.28,0.135,11,-0.93,2.3
ORD-100111,2024-11-11,,Electronics,Consumer,263.59,0.266,5,51.66,1.9
ORD-100112,2024-05-02,Central,electronics,Consumer,362.08,0.083,2,102.48,4.3
ORD-100113,2024-06-29,West,Furniture,Home Office,150.85,,11,45.04,1.3
ORD-100114,2024-08-28,,electronics,Corporate,279.57,0.194,5,43.22,4.0
ORD-100115,2024-03-09,,Home & Kitchen,Corporate,231.35,0.204,11,53.78,1.7
ORD-100116,2024-08-22,,Furniture,Consumer,266.28,0.022,4,12.03,4.5
ORD-100117,2024-05-26,North,Seasonal,Corporate,222.39,0.013,5,68.68,1.5
ORD-100118,2024-09-11,Central,Office Supplies,Consumer,136.59,0.341,7,91.43,1.3
ORD-100119,2024-11-04,South,Seasonal,Corporate,131.05,0.231,6,11.53,2.8
ORD-100120,2024-12-09,East,Home & Kitchen,Home Office,224.42,0.277,11,-20.38,1.6
ORD-100121,2024-07-04,Central,Electronics,Home Office,402.5,0.083,3,56.33,3.7
ORD-100122,2024-05-07,North,Seasonal,Consumer,323.21,0.139,8,35.85,3.1
ORD-100123,2024-09-08,South,Electronics,Corporate,284.28,0.214,3,37.24,4.6
ORD-100124,2024-10-04,East,Furniture,Home Office,217.72,0.122,11,49.35,1.7
ORD-100125,2024-10-20,Central,Furniture,Home Office,213.25,0.173,2,61.34,1.3
ORD-100126,2024-06-11,West,electronics,Home Office,148.04,0.201,9,73.46,2.4
ORD-100127,2024-01-29,Central,Furniture,Corporate,350.29,0.151,3,8.76,1.6
ORD-100128,2024-10-09,  north,Office Supplies,Home Office,302.45,0.028,9,36.45,1.4
ORD-100129,2024-10-15,,Electronics,Consumer,182.25,0.316,1,13.9,4.8
ORD-100130,2024-10-06,East,electronics,Consumer,258.26,0.011,11,21.68,2.6
ORD-100131,2024-06-12,East,electronics,Consumer,132.96,0.119,6,58.19,3.1
ORD-100132,2024-11-11,South,Office Supplies,Home Office,296.75,0.018,6,58.81,1.8
ORD-100133,2024-08-22,South,Home & Kitchen,Corporate,393.28,0.032,1,128.89,1.2
ORD-100134,2024-05-15,West,Office Supplies,Consumer,84.58,0.297,7,46.99,1.2
ORD-100135,2024-11-15,North,Furniture,Consumer,179.74,0.192,7,34.22,2.5
ORD-100136,2024-01-20,East,electronics,Home Office,351.85,0.14,8,41.82,1.6
ORD-100137,2024-10-30,Central,Home & Kitchen,Corporate,284.37,0.216,10,34.76,2.2
ORD-100138,2024-12-18,Central,electronics,Corporate,280.79,0.279,11,18.66,4.1
ORD-100139,2024-07-13,  north,Furniture,Consumer,267.19,0.22,10,6.14,4.8
ORD-100140,2024-08-29,  north,Seasonal,Consumer,262.06,0.144,3,48.74,3.1
ORD-100141,2024-10-06,  north,Seasonal,Home Office,-12.98,0.161,5,5.32,3.4
ORD-100142,2024-04-16,West,Office Supplies,Corporate,271.36,0.104,6,66.1,3.2
ORD-100143,2024-06-25,South,Office Supplies,Consumer,367.26,0.314,5,25.8,4.8
ORD-100144,2024-10-14,South,Electronics,Home Office,409.69,0.29,10,77.45,2.0
ORD-100145,2024-12-14,North,Home & Kitchen,Consumer,414.89,0.116,7,65.42,3.6
ORD-100146,2024-02-15,South,Home & Kitchen,Home Office,316.52,0.1,1,21.76,4.7
ORD-100147,2024-05-28,North,Office Supplies,Home Office,325.06,0.139,10,100.3,1.4
ORD-100148,2024-08-27,North,Office Supplies,Consumer,315.1,0.328,8,42.38,3.6
ORD-100149,2024-11-23,West,Home & Kitchen,Corporate,247.36,0.068,2,40.05,2.6
ORD-100150,2024-05-16,East,Home & Kitchen,Home Office,436.84,0.134,10,,1.0
ORD-100151,2024-12-26,  north,Electronics,Home Office,180.08,0.142,5,7.1,2.5
ORD-100152,2024-08-29,  north,Furniture,Consumer,286.6,0.131,11,119.1,4.0
ORD-100153,2024-10-07,South,Home & Kitchen,Home Office,273.11,0.197,3,,1.7
ORD-100154,2024-01-29,Central,electronics,Corporate,302.73,0.315,10,19.34,1.2
ORD-100155,2024-01-24,  north,Electronics,Home Office,108.94,0.261,1,57.74,4.7
ORD-100156,2024-08-03,West,electronics,Corporate,2533.48,0.342,7,74.37,1.3
ORD-100157,2024-03-06,South,Electronics,Consumer,408.89,0.347,5,31.34,2.9
ORD-100158,2024-02-27,,Seasonal,Corporate,233.78,0.054,10,14.07,4.1
ORD-100159,2024-01-25,North,electronics,Corporate,260.58,0.209,4,,3.2
ORD-100160,2024-10-22,  north,Office Supplies,Consumer,253.81,0.321,5,-6.88,4.5
ORD-100161,2024-03-30,West,Home & Kitchen,Corporate,346.71,0.207,1,41.73,4.9
ORD-100162,2024-10-02,South,Office Supplies,Home Office,361.4,0.052,3,28.94,4.2
ORD-100163,2024-11-27,West,Office Supplies,Consumer,338.44,0.085,9,25.31,3.9
ORD-100164,2024-12-09,West,Furniture,Corporate,273.11,0.066,5,67.08,4.8
ORD-100165,2024-11-05,West,Furniture,Home Office,437.33,0.168,6,51.79,4.1
ORD-100166,2024-08-28,East,Furniture,Corporate,177.69,0.174,6,70.25,2.7
ORD-100167,2024-03-19,South,electronics,Home Office,197.73,0.203,4,36.88,3.0
ORD-100168,2024-03-27,East,Furniture,Consumer,181.42,0.225,9,7.36,3.0
ORD-100169,2024-12-08,,Electronics,Corporate,336.67,0.296,3,,4.4
ORD-100170,2024-09-04,North,Electronics,Home Office,1727.42,0.233,9,91.7,2.6
ORD-100171,2024-04-01,North,Home & Kitchen,Consumer,377.33,0.244,4,50.04,1.8
ORD-100172,2024-12-22,  north,Electronics,Home Office,105.01,0.142,11,35.88,4.0
ORD-100173,2024-08-10,East,Home & Kitchen,Consumer,315.03,0.06,9,,4.7
ORD-100174,2024-05-23,Central,Seasonal,Consumer,271.83,0.323,3,109.04,4.7
ORD-100175,2024-03-24,Central,electronics,Home Office,169.53,0.139,9,115.36,2.3
ORD-100176,2024-08-11,North,Office Supplies,Home Office,251.55,0.341,10,28.54,4.8
ORD-100177,2024-08-09,Central,Seasonal,Corporate,752.13,0.125,2,76.25,4.1
ORD-100178,2024-07-18,North,Electronics,Consumer,233.07,0.274,5,66.66,2.8
ORD-100179,2024-02-15,North,Home & Kitchen,Home Office,252.65,0.179,6,31.1,4.5
ORD-100180,2024-09-23,West,Furniture,Consumer,332.44,0.347,5,47.4,2.2
ORD-100181,2024-05-06,West,Home & Kitchen,Home Office,221.1,0.027,4,45.47,2.8
ORD-100182,2024-08-08,  north,Home & Kitchen,Consumer,256.14,0.302,5,47.63,2.3
ORD-100183,2024-09-08,South,Office Supplies,Corporate,300.66,0.102,5,38.47,4.3
ORD-100184,2024-08-24,South,electronics,Corporate,219.23,0.239,2,54.19,4.3
ORD-100185,2024-07-12,Central,electronics,Home Office,273.22,0.231,7,15.48,3.1
ORD-100186,2024-10-31,North,Electronics,Consumer,393.19,0.246,11,17.0,3.7
ORD-100187,2024-08-08,North,Office Supplies,Consumer,305.29,0.338,9,80.74,4.0
ORD-100188,2024-03-18,North,electronics,Consumer,135.97,0.238,5,28.69,2.7
ORD-100189,2024-09-04,North,electronics,Home Office,288.6,0.159,8,41.45,2.3
ORD-100190,2024-05-04,Central,Furniture,Corporate,204.7,0.237,9,96.99,2.7
ORD-100191,2024-04-11,West,electronics,Consumer,111.01,0.138,4,57.67,1.8
ORD-100192,2024-08-22,  north,electronics,Home Office,252.13,0.065,11,-9.56,2.3
ORD-100193,2024-06-01,Central,Electronics,Home Office,188.89,0.06,3,64.29,2.3
ORD-100194,2024-08-04,  north,Home & Kitchen,Home Office,252.86,0.209,11,59.92,4.7
ORD-100195,2024-01-05,South,electronics,Home Office,272.42,0.217,9,61.06,3.6
ORD-100196,2024-04-22,East,Furniture,Home Office,171.69,0.198,5,63.86,1.7
ORD-100197,2024-07-06,North,Seasonal,Corporate,122.93,0.04,9,58.09,1.9
ORD-100198,2024-02-14,North,Furniture,Consumer,133.61,0.011,10,67.19,3.8
ORD-100199,2024-10-18,East,Home & Kitchen,Home Office,320.56,0.285,3,13.44,2.3
ORD-100200,2024-07-29,East,Seasonal,Consumer,231.18,0.238,3,21.23,2.0
ORD-100201,2024-07-31,North,Seasonal,Consumer,213.92,0.202,7,-9.68,3.1
ORD-100202,2024-02-17,West,Seasonal,Home Office,216.88,0.001,6,114.3,4.4
ORD-100203,2024-10-07,Central,electronics,Corporate,272.8,0.113,11,16.03,4.0
ORD-100204,2024-08-07,  north,Furniture,Home Office,,0.055,5,56.98,1.6
ORD-100205,2024-07-21,  north,Seasonal,Consumer,308.39,0.316,7,35.15,3.6
ORD-100206,2024-12-22,North,electronics,Home Office,248.93,,3,43.66,2.9
ORD-100207,2024-03-09,  north,Furniture,Consumer,254.56,0.105,9,57.86,3.3
ORD-100208,2024-08-14,North,Electronics,Consumer,213.15,0.322,2,33.52,3.4
ORD-100209,2024-11-03,East,Seasonal,Consumer,96.58,0.029,11,96.35,4.5
ORD-100210,2024-05-02,North,Furniture,Corporate,280.21,0.274,11,84.4,3.4
ORD-100211,2024-07-06,South,electronics,Consumer,32.84,0.301,1,30.37,3.3
ORD-100212,2024-07-31,West,Electronics,Home Office,305.56,0.1,9,46.81,3.2
ORD-100213,2024-10-27,  north,Seasonal,Home Office,269.19,0.054,2,55.26,2.2
ORD-100214,2024-01-29,  north,Seasonal,Home Office,66.96,0.041,3,73.44,1.5
ORD-100215,2024-03-26,  north,Office Supplies,Home Office,217.48,0.274,2,-0.03,4.1
ORD-100216,2024-08-21,North,electronics,Home Office,392.67,0.202,3,54.98,2.5
ORD-100217,2024-01-07,West,Office Supplies,Corporate,248.8,0.178,3,58.97,1.7
ORD-100218,2024-06-12,North,Home & Kitchen,Corporate,270.8,0.079,2,43.01,3.0
ORD-100219,2024-05-24,East,Office Supplies,Consumer,291.05,0.024,9,34.1,2.8
ORD-100220,2024-04-10,Central,Furniture,Consumer,204.86,0.129,1,63.27,4.7
ORD-100221,2024-07-11,  north,Office Supplies,Consumer,348.79,0.117,4,,3.1
ORD-100222,2024-09-23,East,electronics,Home Office,256.92,0.033,2,79.82,3.3
ORD-100223,2024-05-29,East,electronics,Home Office,136.14,0.232,6,,2.3
ORD-100224,2024-08-26,North,Home & Kitchen,Corporate,245.67,0.054,4,56.71,2.8
ORD-100225,2024-04-20,East,Furniture,Consumer,97.62,0.247,4,58.4,4.9
ORD-100226,2024-10-11,South,Electronics,Corporate,229.85,0.333,2,50.77,4.2
ORD-100227,2024-11-18,North,Home & Kitchen,Home Office,257.92,0.288,5,48.58,4.7
ORD-100228,2024-06-18,West,Electronics,Consumer,494.13,0.032,10,91.64,2.7
ORD-100229,2024-08-16,North,Home & Kitchen,Home Office,235.02,0.318,10,10.33,2.0
ORD-100230,2024-09-26,Central,Electronics,Corporate,226.95,0.048,6,74.68,2.9
ORD-100231,2024-01-16,East,Electronics,Corporate,264.42,0.009,9,17.99,2.4
ORD-100232,2024-01-29,South,Home & Kitchen,Corporate,199.69,0.187,6,34.0,4.7
ORD-100233,2024-12-26,Central,Home & Kitchen,Consumer,299.35,0.126,10,44.02,4.8
ORD-100234,2024-11-04,Central,electronics,Consumer,325.6,0.013,6,-1.79,4.7
ORD-100235,2024-10-27,South,Electronics,Home Office,262.7,0.113,6,60.13,4.8
ORD-100236,2024-08-11,West,Seasonal,Corporate,116.24,0.048,3,96.06,3.8
ORD-100237,2024-12-18,South,Seasonal,Consumer,94.63,0.285,10,21.09,2.6
ORD-100238,2024-09-11,  north,Electronics,Consumer,3205.72,0.077,6,42.21,4.9
ORD-100239,2024-05-15,  north,Electronics,Corporate,332.14,0.31,5,99.31,4.1
ORD-100240,2024-06-28,North,electronics,Home Office,245.35,0.145,11,35.74,4.0
ORD-100241,2024-06-24,West,Furniture,Home Office,263.39,0.091,2,,3.2
ORD-100242,2024-03-25,West,Furniture,Consumer,278.37,0.011,2,37.08,2.3
ORD-100243,2024-02-19,,Home & Kitchen,Home Office,331.03,0.231,8,40.07,1.6
ORD-100244,2024-03-28,North,electronics,Consumer,195.79,0.07,5,69.31,4.1
ORD-100245,2024-04-05,East,electronics,Corporate,83.02,0.13,5,56.56,1.9
ORD-100246,2024-10-28,North,electronics,Home Office,246.68,0.12,7,55.63,4.9
ORD-100247,2024-01-18,Central,Home & Kitchen,Home Office,177.67,0.138,10,-19.98,1.6
ORD-100248,2024-02-10,West,Furniture,Home Office,332.95,0.067,3,34.73,4.3
ORD-100249,2024-05-21,North,Seasonal,Home Office,241.29,0.139,10,110.88,3.1
ORD-100250,2024-10-15,East,Home & Kitchen,Corporate,177.57,0.329,7,60.02,2.1
ORD-100251,2024-07-24,,Office Supplies,Home Office,191.3,0.216,4,12.7,1.2
ORD-100252,2024-12-22,South,Furniture,Corporate,187.49,0.109,8,48.68,4.1
ORD-100253,2024-09-05,East,Electronics,Home Office,194.34,0.32,3,88.74,1.3
ORD-100254,2024-04-12,South,Electronics,Corporate,229.57,0.061,1,15.49,4.7
ORD-100255,2024-07-09,West,Furniture,Corporate,232.0,0.043,10,21.96,3.2
ORD-100256,2024-10-19,South,Furniture,Home Office,164.85,0.01,4,92.46,3.7
ORD-100257,2024-11-03,South,Office Supplies,Home Office,1897.79,0.319,5,,3.9
ORD-100258,2024-09-23,West,Home & Kitchen,Consumer,233.78,0.076,1,21.7,3.0
ORD-100259,2024-02-02,East,Seasonal,Corporate,169.4,0.104,5,-4.22,2.0
ORD-100260,2024-11-03,East,Seasonal,Consumer,209.12,0.315,1,-16.46,3.6
ORD-100261,2024-04-07,  north,Furniture,Home Office,311.99,0.248,9,,3.6
ORD-100262,2024-05-30,South,Seasonal,Corporate,62.06,0.23,9,55.83,4.1
ORD-100263,2024-06-18,Central,Office Supplies,Corporate,299.28,0.26,2,86.33,2.9
ORD-100264,2024-07-14,West,Electronics,Consumer,320.72,0.175,3,15.44,5.0
ORD-100265,2024-02-11,  north,Furniture,Corporate,120.12,0.302,11,118.97,1.2
ORD-100266,2024-03-07,  north,electronics,Corporate,197.63,0.275,7,51.1,4.9
ORD-100267,2024-04-07,,Electronics,Home Office,233.51,0.113,4,,1.9
ORD-100268,2024-05-28,Central,Home & Kitchen,Home Office,299.54,0.023,6,26.88,2.7
ORD-100269,2024-07-25,,Furniture,Home Office,233.41,0.058,3,30.17,1.8
ORD-100270,2024-09-30,Central,Electronics,Home Office,343.93,0.131,2,49.88,3.6
ORD-100271,2024-12-21,North,Office Supplies,Corporate,371.46,0.166,11,50.68,1.4
ORD-100272,2024-05-24,North,electronics,Consumer,139.2,0.179,10,39.67,1.8
ORD-100273,2024-04-16,West,Office Supplies,Consumer,242.06,0.014,1,81.39,1.1
ORD-100274,2024-02-21,  north,Furniture,Corporate,282.81,0.273,5,52.7,2.1
ORD-100275,2024-02-29,North,Electronics,Consumer,389.34,0.237,11,62.01,3.6
ORD-100276,2024-02-28,West,Office Supplies,Corporate,169.51,0.13,8,101.02,4.2
ORD-100277,2024-08-01,West,Home & Kitchen,Home Office,165.2,0.33,8,,1.7
ORD-100278,2024-02-27,West,Electronics,Consumer,1448.24,0.046,5,64.39,3.6
ORD-100279,2024-06-22,  north,Seasonal,Home Office,410.61,0.078,2,49.69,2.7
ORD-100280,2024-11-09,,Seasonal,Consumer,236.59,0.289,9,10.96,4.4
ORD-100281,2024-04-24,West,electronics,Consumer,346.41,0.34,2,-3.55,2.8
ORD-100282,2024-02-22,North,Home & Kitchen,Home Office,277.61,0.174,1,13.97,4.3
ORD-100283,2024-06-23,North,Furniture,Corporate,303.35,0.229,6,-29.45,3.2
ORD-100284,2024-06-23,  north,Office Supplies,Home Office,183.89,0.266,9,21.79,2.5
ORD-100285,2024-04-10,West,Furniture,Corporate,383.87,0.143,4,84.61,3.9
ORD-100286,2024-12-03,Central,Furniture,Corporate,314.51,0.27,1,64.45,3.1
ORD-100287,2024-10-23,South,Electronics,Corporate,428.56,0.322,11,66.09,3.4
ORD-100288,2024-06-24,West,Furniture,Consumer,320.16,0.267,7,21.12,3.4
ORD-100289,2024-04-21,Central,Seasonal,Corporate,322.48,0.258,11,21.47,2.4
ORD-100290,2024-02-29,Central,electronics,Home Office,144.21,0.243,10,-29.78,4.8
ORD-100291,2024-02-24,,Furniture,Consumer,220.29,,11,1.47,1.2
ORD-100292,2024-04-14,North,Office Supplies,Corporate,235.05,0.022,2,97.34,3.5
ORD-100293,2024-12-22,  north,Electronics,Corporate,203.64,0.179,7,10.6,2.7
ORD-100294,2024-08-14,  north,Seasonal,Home Office,278.85,0.071,11,0.69,2.5
ORD-100295,2024-02-08,South,Seasonal,Home Office,138.67,0.157,2,19.1,2.5
ORD-100296,2024-03-20,,Office Supplies,Home Office,158.09,0.116,1,61.61,4.1
ORD-100297,2024-09-26,South,Home & Kitchen,Consumer,141.37,0.026,9,4.08,1.6
ORD-100298,2024-11-12,Central,Seasonal,Consumer,171.65,0.116,2,36.85,3.7
ORD-100299,2024-02-28,Central,Seasonal,Corporate,86.62,0.239,1,66.77,4.6
ORD-100300,2024-09-20,North,Furniture,Home Office,283.95,0.314,9,,1.0
ORD-100301,2024-12-25,  north,electronics,Home Office,359.24,0.036,2,62.87,4.0
ORD-100302,2024-10-21,East,electronics,Corporate,300.43,0.278,8,,3.5
ORD-100303,2024-10-26,,Electronics,Corporate,236.52,0.216,9,47.26,1.4
ORD-100304,2024-08-30,South,Furniture,Home Office,265.56,0.138,7,20.27,4.2
ORD-100305,2024-11-27,North,Home & Kitchen,Home Office,289.13,0.338,3,24.66,1.5
ORD-100306,2024-06-25,  north,Home & Kitchen,Consumer,357.75,0.262,3,46.28,1.7
ORD-100307,2024-10-08,Central,Electronics,Corporate,204.67,0.019,11,29.65,1.3
ORD-100308,2024-11-13,South,Office Supplies,Corporate,354.93,0.229,8,72.92,2.3
